establecimiento_id,establecimiento_nombre,localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,codent,origen_financiamiento,tipologia_id,tipologia_sigla,tipologia_nombre,cp,domicilio,sitio_web,longitud,latitud,coordinate_status
10300562342615,CLINICA CENTRO MEDICO SAN LUCAS S.A.,30056070000,GUALEGUAYCHU,30,ENTRE RÍOS,56,GUALEGUAYCHÚ,70,0,Privado,10,ESCIG,Alto riesgo con terapia intensiva,2820,URQUIZA 513,NA,-58.5105228424072,-33.0086275062667,valid_argentina_bounds
50100352224412,ESTABLECIMIENTO SANITARIO PERIFERICO  PIEDRA LARGA,10035000087,PIEDRA LARGA,10,CATAMARCA,35,BELÉN,0,0,Municipal,50,ESSIDT,Con atención médica general por lo menos 3 días de la semana,4751,Piedra Larga -Pozo de Piedra,NA,-67.21435546875,-27.589849302828,valid_argentina_bounds
50820632386063,CENTRO DE REHABILITACION PSICOSOCIAL RUMBOS,82063170000,SANTA FE,82,SANTA FE,63,LA CAPITAL,170,0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,3000,SUIPACHA 2646,NA,-60.7053852081298,-31.639950651454,valid_argentina_bounds
51020012317331,LABORATORIO DE ANALISIS CLINICOS (URIARTE 2379),2014010001,PALERMO,2,CABA,14,COMUNA 14,10,1,Privado,51,ESSID,Laboratorio de Análisis Clínicos,C1425FNG,Uriarte 2379 2383 PISO 1 y 2,NA,-58.4239411354064,-34.5816907603551,valid_argentina_bounds
15140142332642,RESIDENCIA GERIATRICA PRIVADA NUÑEZ,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,Privado,17,ESCIRES,Vivienda para personas mayores,5000,AVENIDA RAFAEL NUÑEZ 6253,NA,-64.251439,-31.344964,valid_argentina_bounds
15140212332766,RESIDENCIA GERIATRICA PRIVADA DESCANSO SAN JAVIER,14021230000,RIO CEBALLOS,14,CÓRDOBA,21,COLÓN,230,0,Privado,17,ESCIRES,Vivienda para personas mayores,5111,Esquiú 137,NA,-64.3329334259033,-31.1653689287009,valid_argentina_bounds
15140212332768,RESIDENCIA GERIATRICA PRIVADA EL PORTICO,14021230000,RIO CEBALLOS,14,CÓRDOBA,21,COLÓN,230,0,Privado,17,ESCIRES,Vivienda para personas mayores,5111,SARGENTO CABRAL 333,NA,-64.324186,-31.16888,valid_argentina_bounds
15140212332770,RESIDENCIA GERIATRICA PRIVADA LA MANSION,14021230000,RIO CEBALLOS,14,CÓRDOBA,21,COLÓN,230,0,Privado,17,ESCIRES,Vivienda para personas mayores,5111,AVENIDA SAN MARTIN 7126,NA,-64.325278,-31.152204,valid_argentina_bounds
15140142332806,RESIDENCIA GERIATRICA PRIVADA ARBOL DE LA VIDA,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,Privado,17,ESCIRES,Vivienda para personas mayores,5000,BULNES 1854,NA,-64.1648579999999,-31.397757,valid_argentina_bounds
14068612306577,CLINICA DE OJOS MAIPU,6861010006,OLIVOS,6,BUENOS AIRES,861,VICENTE LÓPEZ,10,6,Privado,14,ESCIE,Mediano riesgo con internación con cuidados especiales,1636,AVENIDA MAIPU 1223,NA,-58.4821132,-34.5261783,valid_argentina_bounds
